sales_agent,account,deal_stage,engage_date,close_date,close_value,sector,year_established,revenue,employees,office_location,close_value_per_employee,close_value_per_revenue
Versie Hillebrand,Funholding,Won,2017-03-19,2017-03-27,2871.0,finance,1991.0,2819.5,7227.0,United States,0.3972602739726027,1.0182656499379323
Violet Mclelland,Bioplex,Won,2017-03-19,2017-06-04,52.0,medical,1991.0,326.82,1016.0,United States,0.051181102362204724,0.15910898965791567
Anna Snelling,Funholding,Lost,2017-03-20,2017-05-19,0.0,finance,1991.0,2819.5,7227.0,United States,0.0,0.0
Boris Faz,Kan-code,Won,2017-03-20,2017-06-12,564.0,software,1982.0,11698.03,34288.0,United States,0.01644890340643957,0.0482132461619606
Cassey Cress,Donware,Lost,2017-03-20,2017-05-23,0.0,marketing,1999.0,1197.44,2570.0,United States,0.0,0.0
Corliss Cosme,Plexzap,Engaging,2017-03-20,,0.0,retail,2001.0,2437.85,4874.0,United States,0.0,0.0
Daniell Hammack,Ganjaflex,Won,2017-03-20,2017-06-02,3780.0,retail,1995.0,5158.71,17479.0,Japan,0.21625951141369643,0.7327413248661002
Darcel Schlecht,dambase,Won,2017-03-20,2017-06-24,491.0,marketing,1995.0,2173.98,2928.0,United States,0.1676912568306011,0.22585304372625323
Darcel Schlecht,Dontechi,Won,2017-03-20,2017-03-30,604.0,software,1982.0,4618.0,10083.0,United States,0.05990280670435386,0.13079255088783023
Elease Gluck,Singletechno,Lost,2017-03-20,2017-05-27,0.0,retail,1996.0,2214.94,5374.0,United States,0.0,0.0
Kami Bicknell,Sonron,Lost,2017-03-20,2017-03-23,0.0,telecommunications,1999.0,1699.85,5108.0,United States,0.0,0.0
Kami Bicknell,Cheers,Won,2017-03-20,2017-06-23,568.0,entertainment,1993.0,4269.9,6472.0,United States,0.08776266996291718,0.13302419260404227
Kary Hendrixson,Singletechno,Won,2017-03-20,2017-06-24,601.0,retail,1996.0,2214.94,5374.0,United States,0.11183475995534053,0.27133917848790484
Maureen Marcano,Blackzim,Lost,2017-03-20,2017-06-02,0.0,retail,2009.0,497.11,1588.0,United States,0.0,0.0
Niesha Huffines,Genco Pura Olive Oil Company,Won,2017-03-20,2017-05-06,5616.0,retail,2007.0,894.33,1635.0,Italy,3.434862385321101,6.279561235785448
Reed Clapper,Zotware,Lost,2017-03-20,2017-06-28,0.0,software,1979.0,4478.47,13809.0,United States,0.0,0.0
Rosalina Dieter,Faxquote,Lost,2017-03-20,2017-05-18,0.0,telecommunications,1995.0,1825.82,5595.0,United States,0.0,0.0
Versie Hillebrand,dambase,Lost,2017-03-20,2017-06-21,0.0,marketing,1995.0,2173.98,2928.0,United States,0.0,0.0
Vicki Laflamme,Scotfind,Lost,2017-03-20,2017-06-12,0.0,software,1996.0,6354.87,16780.0,United States,0.0,0.0
Violet Mclelland,Opentech,Won,2017-03-20,2017-06-29,542.0,finance,1994.0,355.23,853.0,United States,0.6354044548651817,1.5257720350195647
Wilburn Farren,Gekko & Co,Won,2017-03-20,2017-06-14,497.0,retail,1990.0,2520.83,3502.0,United States,0.14191890348372357,0.19715728549723702
Zane Levy,J-Texon,Won,2017-03-20,2017-05-22,5443.0,retail,1989.0,1388.67,3583.0,United States,1.5191180574937204,3.9195777254495305
Anna Snelling,Rangreen,Won,2017-03-21,2017-06-16,1037.0,technolgy,1987.0,2938.67,8775.0,Panama,0.11817663817663818,0.3528807249538056
Boris Faz,Rangreen,Engaging,2017-03-21,,0.0,technolgy,1987.0,2938.67,8775.0,Panama,0.0,0.0
Boris Faz,Betasoloin,Won,2017-03-21,2017-04-03,992.0,medical,1999.0,251.41,495.0,United States,2.004040404040404,3.945745992601726
Cecily Lampkin,Stanredtax,Won,2017-03-21,2017-03-30,966.0,finance,1987.0,1698.2,3798.0,United States,0.25434439178515006,0.5688375927452597
Daniell Hammack,Zotware,Lost,2017-03-21,2017-06-26,0.0,software,1979.0,4478.47,13809.0,United States,0.0,0.0
Garret Kinder,Vehement Capital Partners,Lost,2017-03-21,2017-04-01,0.0,finance,1993.0,646.1,883.0,United States,0.0,0.0
Jonathan Berthelot,Warephase,Lost,2017-03-21,2017-04-01,0.0,services,1997.0,2041.73,5276.0,United States,0.0,0.0
Jonathan Berthelot,Ron-tech,Won,2017-03-21,2017-05-11,3232.0,medical,1992.0,3922.42,6837.0,United States,0.472721954073424,0.8239811137002157
Reed Clapper,Ganjaflex,Won,2017-03-21,2017-05-29,548.0,retail,1995.0,5158.71,17479.0,Japan,0.031351908003890386,0.10622810741445052
Wilburn Farren,Plussunin,Lost,2017-03-21,2017-03-26,0.0,retail,2003.0,1419.98,4018.0,United States,0.0,0.0
Anna Snelling,Ron-tech,Won,2017-03-22,2017-05-30,52.0,medical,1992.0,3922.42,6837.0,United States,0.007605675003656574,0.013257121878840103
Darcel Schlecht,Genco Pura Olive Oil Company,Lost,2017-03-22,2017-05-28,0.0,retail,2007.0,894.33,1635.0,Italy,0.0,0.0
Darcel Schlecht,Globex Corporation,Lost,2017-03-22,2017-05-23,0.0,technolgy,2000.0,1223.72,2497.0,Norway,0.0,0.0
Darcel Schlecht,Isdom,Won,2017-03-22,2017-03-30,5109.0,medical,2002.0,3178.24,4540.0,United States,1.1253303964757708,1.6074934554973823
Elease Gluck,Statholdings,Engaging,2017-03-22,,0.0,employment,1997.0,291.27,586.0,United States,0.0,0.0
Gladys Colclough,Codehow,Won,2017-03-22,2017-06-21,49.0,software,1998.0,2714.9,2641.0,United States,0.018553578190079516,0.018048546907805076
Jonathan Berthelot,Konmatfix,Lost,2017-03-22,2017-05-03,0.0,marketing,1985.0,375.43,1190.0,United States,0.0,0.0
Kami Bicknell,Kan-code,Won,2017-03-22,2017-06-25,447.0,software,1982.0,11698.03,34288.0,United States,0.013036630891273914,0.03821156211772409
Lajuana Vencill,Isdom,Won,2017-03-22,2017-06-14,3430.0,medical,2002.0,3178.24,4540.0,United States,0.7555066079295154,1.0792136528393073
Niesha Huffines,Condax,Lost,2017-03-22,2017-06-18,0.0,medical,2017.0,4.54,9.0,United States,0.0,0.0
Reed Clapper,Donquadtech,Won,2017-03-22,2017-06-10,3245.0,technolgy,1992.0,1712.68,3194.0,United States,1.0159674389480275,1.8946913609080505
Versie Hillebrand,Bioholding,Lost,2017-03-22,2017-03-27,0.0,medical,2012.0,587.34,1356.0,Philipines,0.0,0.0
Versie Hillebrand,Ron-tech,Won,2017-03-22,2017-03-26,61.0,medical,1992.0,3922.42,6837.0,United States,0.00892204183121252,0.015551623742485506
Vicki Laflamme,Golddex,Won,2017-03-22,2017-06-29,60.0,finance,2008.0,52.5,165.0,United States,0.36363636363636365,1.1428571428571428
Violet Mclelland,Kan-code,Lost,2017-03-22,2017-04-01,0.0,software,1982.0,11698.03,34288.0,United States,0.0,0.0
Anna Snelling,dambase,Won,2017-03-23,2017-04-01,5060.0,marketing,1995.0,2173.98,2928.0,United States,1.7281420765027322,2.3275283121279866
Boris Faz,Xx-zobam,Lost,2017-03-23,2017-04-01,0.0,entertainment,1989.0,3838.39,8274.0,United States,0.0,0.0
Cassey Cress,Blackzim,Engaging,2017-03-23,,0.0,retail,2009.0,497.11,1588.0,United States,0.0,0.0
Cassey Cress,Kan-code,Won,2017-03-23,2017-04-01,585.0,software,1982.0,11698.03,34288.0,United States,0.017061362575828277,0.050008420221182535
Corliss Cosme,Sumace,Lost,2017-03-23,2017-06-11,0.0,retail,2000.0,167.89,493.0,Romania,0.0,0.0
Donn Cantrell,Betasoloin,Lost,2017-03-23,2017-05-19,0.0,medical,1999.0,251.41,495.0,United States,0.0,0.0
Gladys Colclough,Hottechi,Lost,2017-03-23,2017-04-03,0.0,technolgy,1997.0,8170.38,16499.0,Korea,0.0,0.0
Kami Bicknell,Condax,Lost,2017-03-23,2017-04-03,0.0,medical,2017.0,4.54,9.0,United States,0.0,0.0
Lajuana Vencill,Condax,Lost,2017-03-23,2017-04-05,0.0,medical,2017.0,4.54,9.0,United States,0.0,0.0
Lajuana Vencill,Dontechi,Lost,2017-03-23,2017-06-15,0.0,software,1982.0,4618.0,10083.0,United States,0.0,0.0
Markita Hansen,Nam-zim,Won,2017-03-23,2017-06-05,572.0,services,1987.0,405.59,1179.0,Brazil,0.4851569126378287,1.4102911807490324
Markita Hansen,Golddex,Won,2017-03-23,2017-06-08,54.0,finance,2008.0,52.5,165.0,United States,0.32727272727272727,1.0285714285714285
Moses Frase,Dontechi,Lost,2017-03-23,2017-04-01,0.0,software,1982.0,4618.0,10083.0,United States,0.0,0.0
Versie Hillebrand,Stanredtax,Won,2017-03-23,2017-05-05,60.0,finance,1987.0,1698.2,3798.0,United States,0.01579778830963665,0.03533152749970557
Versie Hillebrand,Zumgoity,Won,2017-03-23,2017-04-01,3251.0,medical,1984.0,441.08,1210.0,United States,2.6867768595041324,7.370545025845652
Vicki Laflamme,Lexiqvolax,Won,2017-03-23,2017-06-14,5930.0,medical,2004.0,1618.89,3889.0,United States,1.5248135767549498,3.663003663003663
Violet Mclelland,Mathtouch,Won,2017-03-23,2017-04-01,941.0,marketing,1984.0,3027.46,9516.0,Jordan,0.09888608659100462,0.3108216128371638
Anna Snelling,Cancity,Lost,2017-03-24,2017-05-18,0.0,retail,2001.0,718.62,2448.0,United States,0.0,0.0
Anna Snelling,Scottech,Won,2017-03-24,2017-06-06,56.0,marketing,2012.0,45.39,100.0,United States,0.56,1.2337519277373872
Anna Snelling,Codehow,Won,2017-03-24,2017-04-04,3445.0,software,1998.0,2714.9,2641.0,United States,1.3044301400984475,1.2689233489262957
Cassey Cress,Singletechno,Engaging,2017-03-24,,0.0,retail,1996.0,2214.94,5374.0,United States,0.0,0.0
Cecily Lampkin,Bioholding,Won,2017-03-24,2017-03-31,54.0,medical,2012.0,587.34,1356.0,Philipines,0.03982300884955752,0.09193993257738277
Corliss Cosme,Mathtouch,Won,2017-03-24,2017-03-31,3498.0,marketing,1984.0,3027.46,9516.0,Jordan,0.36759142496847413,1.1554240188144518
Daniell Hammack,Vehement Capital Partners,Won,2017-03-24,2017-04-02,540.0,finance,1993.0,646.1,883.0,United States,0.6115515288788222,0.8357839343754836
Daniell Hammack,Gekko & Co,Won,2017-03-24,2017-04-02,4986.0,retail,1990.0,2520.83,3502.0,United States,1.4237578526556254,1.9779199708032673
Darcel Schlecht,Toughzap,Lost,2017-03-24,2017-04-03,0.0,retail,1995.0,332.43,799.0,United States,0.0,0.0
Darcel Schlecht,Domzoom,Won,2017-03-24,2017-05-15,5214.0,entertainment,1998.0,217.87,551.0,United States,9.462794918330308,23.93170239133428
Darcel Schlecht,Isdom,Won,2017-03-24,2017-03-30,4794.0,medical,2002.0,3178.24,4540.0,United States,1.0559471365638766,1.5083819975835684
James Ascencio,Kan-code,Lost,2017-03-24,2017-04-02,0.0,software,1982.0,11698.03,34288.0,United States,0.0,0.0
Kary Hendrixson,Scotfind,Lost,2017-03-24,2017-04-03,0.0,software,1996.0,6354.87,16780.0,United States,0.0,0.0
Lajuana Vencill,Cancity,Won,2017-03-24,2017-05-27,648.0,retail,2001.0,718.62,2448.0,United States,0.2647058823529412,0.9017283125991483
Lajuana Vencill,Dontechi,Won,2017-03-24,2017-06-30,3040.0,software,1982.0,4618.0,10083.0,United States,0.30149757016760886,0.6582936336076224
Marty Freudenburg,Treequote,Won,2017-03-24,2017-06-30,1185.0,telecommunications,1988.0,5266.09,8595.0,United States,0.13787085514834205,0.22502463877373916
Marty Freudenburg,Finhigh,Won,2017-03-24,2017-03-26,48.0,finance,2006.0,1102.43,1759.0,United States,0.027288231949971573,0.0435401794218227
Maureen Marcano,J-Texon,Lost,2017-03-24,2017-04-01,0.0,retail,1989.0,1388.67,3583.0,United States,0.0,0.0
Maureen Marcano,Cheers,Won,2017-03-24,2017-06-30,1021.0,entertainment,1993.0,4269.9,6472.0,United States,0.15775648949320148,0.23911567015620977
Maureen Marcano,Scotfind,Won,2017-03-24,2017-05-26,1264.0,software,1996.0,6354.87,16780.0,United States,0.07532777115613826,0.19890257393148877
Moses Frase,Zumgoity,Lost,2017-03-24,2017-05-23,0.0,medical,1984.0,441.08,1210.0,United States,0.0,0.0
Moses Frase,Ron-tech,Won,2017-03-24,2017-06-12,503.0,medical,1992.0,3922.42,6837.0,United States,0.0735702793622934,0.1282371597126264
Reed Clapper,Ganjaflex,Won,2017-03-24,2017-04-03,4440.0,retail,1995.0,5158.71,17479.0,Japan,0.2540191086446593,0.8606802863506574
Versie Hillebrand,Inity,Lost,2017-03-24,2017-04-03,0.0,marketing,1986.0,2403.58,8801.0,United States,0.0,0.0
Versie Hillebrand,Rangreen,Won,2017-03-24,2017-04-02,52.0,technolgy,1987.0,2938.67,8775.0,Panama,0.005925925925925926,0.01769507974696036
Vicki Laflamme,Konex,Lost,2017-03-24,2017-04-03,0.0,technolgy,1980.0,7708.38,13756.0,United States,0.0,0.0
Violet Mclelland,Initech,Lost,2017-03-24,2017-05-05,0.0,telecommunications,1994.0,6395.05,20275.0,United States,0.0,0.0
Violet Mclelland,Gekko & Co,Lost,2017-03-24,2017-04-06,0.0,retail,1990.0,2520.83,3502.0,United States,0.0,0.0
Violet Mclelland,Gekko & Co,Won,2017-03-24,2017-03-26,499.0,retail,1990.0,2520.83,3502.0,United States,0.14249000571102227,0.19795067497609914
Zane Levy,Cheers,Lost,2017-03-24,2017-04-03,0.0,entertainment,1993.0,4269.9,6472.0,United States,0.0,0.0
Zane Levy,Condax,Won,2017-03-24,2017-03-29,1159.0,medical,2017.0,4.54,9.0,United States,128.77777777777777,255.2863436123348
Anna Snelling,Domzoom,Lost,2017-03-25,2017-04-03,0.0,entertainment,1998.0,217.87,551.0,United States,0.0,0.0
Boris Faz,Betasoloin,Won,2017-03-25,2017-05-20,5479.0,medical,1999.0,251.41,495.0,United States,11.06868686868687,21.793086989379898
Daniell Hammack,Zotware,Won,2017-03-25,2017-05-19,4555.0,software,1979.0,4478.47,13809.0,United States,0.32985733941632267,1.0170884252881005
Darcel Schlecht,Hottechi,Lost,2017-03-25,2017-04-02,0.0,technolgy,1997.0,8170.38,16499.0,Korea,0.0,0.0
Elease Gluck,Fasehatice,Lost,2017-03-25,2017-05-25,0.0,retail,1990.0,4968.91,7523.0,United States,0.0,0.0
Garret Kinder,Initech,Won,2017-03-25,2017-03-28,1026.0,telecommunications,1994.0,6395.05,20275.0,United States,0.050604192355117136,0.16043658767327854
Gladys Colclough,Stanredtax,Won,2017-03-25,2017-04-03,503.0,finance,1987.0,1698.2,3798.0,United States,0.13243812532912058,0.296195972205865
Gladys Colclough,Streethex,Won,2017-03-25,2017-06-14,1144.0,retail,1988.0,1376.8,1165.0,Belgium,0.9819742489270387,0.8309122603137711
Gladys Colclough,Genco Pura Olive Oil Company,Won,2017-03-25,2017-06-16,55.0,retail,2007.0,894.33,1635.0,Italy,0.03363914373088685,0.06149855198863954
Markita Hansen,Kan-code,Won,2017-03-25,2017-04-06,3181.0,software,1982.0,11698.03,34288.0,United States,0.09277298180121325,0.2719261277326182
Marty Freudenburg,Scottech,Won,2017-03-25,2017-06-19,54.0,marketing,2012.0,45.39,100.0,United States,0.54,1.1896893588896233
Maureen Marcano,Singletechno,Won,2017-03-25,2017-06-30,3959.0,retail,1996.0,2214.94,5374.0,United States,0.7366951991068106,1.7874073338329706
Niesha Huffines,Streethex,Won,2017-03-25,2017-05-31,571.0,retail,1988.0,1376.8,1165.0,Belgium,0.4901287553648069,0.41472980825101685
Reed Clapper,Donquadtech,Lost,2017-03-25,2017-04-05,0.0,technolgy,1992.0,1712.68,3194.0,United States,0.0,0.0
Vicki Laflamme,Kan-code,Lost,2017-03-25,2017-04-04,0.0,software,1982.0,11698.03,34288.0,United States,0.0,0.0
Vicki Laflamme,Blackzim,Won,2017-03-25,2017-04-03,545.0,retail,2009.0,497.11,1588.0,United States,0.3431989924433249,1.0963368268592464
Vicki Laflamme,Labdrill,Won,2017-03-25,2017-06-21,554.0,medical,1985.0,2741.37,9226.0,United States,0.060047691307175376,0.20208873665357102
Violet Mclelland,Iselectrics,Engaging,2017-03-25,,0.0,technolgy,2011.0,527.11,1428.0,United States,0.0,0.0
Violet Mclelland,Yearin,Won,2017-03-25,2017-04-02,68.0,retail,2005.0,2261.05,3851.0,United States,0.01765775123344586,0.03007452289865328
Violet Mclelland,Zencorporation,Won,2017-03-25,2017-06-16,52.0,technolgy,2011.0,40.79,142.0,China,0.36619718309859156,1.274822260357931
Wilburn Farren,Finhigh,Engaging,2017-03-25,,0.0,finance,2006.0,1102.43,1759.0,United States,0.0,0.0
Anna Snelling,Globex Corporation,Lost,2017-03-26,2017-04-04,0.0,technolgy,2000.0,1223.72,2497.0,Norway,0.0,0.0
Anna Snelling,Dontechi,Won,2017-03-26,2017-04-04,54.0,software,1982.0,4618.0,10083.0,United States,0.005355548943766736,0.01169337375487224
Cassey Cress,Donware,Won,2017-03-26,2017-05-25,3822.0,marketing,1999.0,1197.44,2570.0,United States,1.48715953307393,3.191809192944949
Daniell Hammack,The New York Inquirer,Won,2017-03-26,2017-04-05,971.0,medical,1996.0,439.21,792.0,United States,1.226010101010101,2.210787550374536
Daniell Hammack,Donware,Won,2017-03-26,2017-04-05,6024.0,marketing,1999.0,1197.44,2570.0,United States,2.343968871595331,5.030732228754676
Darcel Schlecht,Stanredtax,Won,2017-03-26,2017-04-04,4820.0,finance,1987.0,1698.2,3798.0,United States,1.2690889942074777,2.838299375809681
Donn Cantrell,Kinnamplus,Lost,2017-03-26,2017-05-28,0.0,retail,2004.0,702.72,1831.0,United States,0.0,0.0
Garret Kinder,Plussunin,Lost,2017-03-26,2017-06-25,0.0,retail,2003.0,1419.98,4018.0,United States,0.0,0.0
Garret Kinder,Ganjaflex,Won,2017-03-26,2017-04-02,2940.0,retail,1995.0,5158.71,17479.0,Japan,0.1682018422106528,0.5699099193403002
Hayden Neloms,Doncon,Won,2017-03-26,2017-04-04,49.0,technolgy,2010.0,587.72,1501.0,United States,0.03264490339773484,0.08337303477846593
Jonathan Berthelot,Conecom,Lost,2017-03-26,2017-04-02,0.0,technolgy,2005.0,1520.66,1806.0,United States,0.0,0.0
Kami Bicknell,Finjob,Lost,2017-03-26,2017-05-31,0.0,employment,1988.0,2059.9,3644.0,United States,0.0,0.0
Kami Bicknell,J-Texon,Won,2017-03-26,2017-05-22,545.0,retail,1989.0,1388.67,3583.0,United States,0.15210717276025676,0.39246185198787326
Kary Hendrixson,Statholdings,Engaging,2017-03-26,,0.0,employment,1997.0,291.27,586.0,United States,0.0,0.0
Markita Hansen,Y-corporation,Won,2017-03-26,2017-06-18,58.0,employment,1983.0,2871.35,9561.0,United States,0.006066311055328941,0.020199557699340034
Marty Freudenburg,Streethex,Lost,2017-03-26,2017-04-03,0.0,retail,1988.0,1376.8,1165.0,Belgium,0.0,0.0
Niesha Huffines,Dontechi,Won,2017-03-26,2017-05-12,4280.0,software,1982.0,4618.0,10083.0,United States,0.4244768422096598,0.9268081420528367
Reed Clapper,Umbrella Corporation,Won,2017-03-26,2017-05-29,2880.0,finance,1998.0,2022.14,5113.0,United States,0.5632700958341482,1.4242337325803356
Rosalina Dieter,Y-corporation,Won,2017-03-26,2017-04-05,25288.0,employment,1983.0,2871.35,9561.0,United States,2.644911620123418,8.807007156912254
Versie Hillebrand,Hottechi,Lost,2017-03-26,2017-05-25,0.0,technolgy,1997.0,8170.38,16499.0,Korea,0.0,0.0
Vicki Laflamme,Hatfan,Lost,2017-03-26,2017-05-06,0.0,services,1982.0,792.46,1299.0,United States,0.0,0.0
Zane Levy,Goodsilron,Lost,2017-03-26,2017-04-04,0.0,marketing,2000.0,2952.73,5107.0,United States,0.0,0.0
Zane Levy,Hottechi,Lost,2017-03-26,2017-05-14,0.0,technolgy,1997.0,8170.38,16499.0,Korea,0.0,0.0
Cecily Lampkin,Zumgoity,Won,2017-03-27,2017-05-29,3267.0,medical,1984.0,441.08,1210.0,United States,2.7,7.406819624557904
Daniell Hammack,Betasoloin,Won,2017-03-27,2017-06-09,5182.0,medical,1999.0,251.41,495.0,United States,10.468686868686868,20.61174973151426
Darcel Schlecht,Cancity,Lost,2017-03-27,2017-04-05,0.0,retail,2001.0,718.62,2448.0,United States,0.0,0.0
Darcel Schlecht,Statholdings,Lost,2017-03-27,2017-04-07,0.0,employment,1997.0,291.27,586.0,United States,0.0,0.0
Garret Kinder,Zencorporation,Lost,2017-03-27,2017-05-31,0.0,technolgy,2011.0,40.79,142.0,China,0.0,0.0
James Ascencio,Y-corporation,Won,2017-03-27,2017-05-25,540.0,employment,1983.0,2871.35,9561.0,United States,0.05647944775651083,0.18806484754557962
James Ascencio,Finjob,Won,2017-03-27,2017-05-01,3492.0,employment,1988.0,2059.9,3644.0,United States,0.9582875960482986,1.6952279236856158
Jonathan Berthelot,dambase,Won,2017-03-27,2017-06-26,5991.0,marketing,1995.0,2173.98,2928.0,United States,2.0461065573770494,2.7557751221262383
Markita Hansen,Lexiqvolax,Lost,2017-03-27,2017-04-02,0.0,medical,2004.0,1618.89,3889.0,United States,0.0,0.0
Markita Hansen,Konex,Lost,2017-03-27,2017-04-06,0.0,technolgy,1980.0,7708.38,13756.0,United States,0.0,0.0
Markita Hansen,Sunnamplex,Won,2017-03-27,2017-06-26,4968.0,marketing,2008.0,894.37,1593.0,Poland,3.1186440677966103,5.554748034929616
Maureen Marcano,Konex,Won,2017-03-27,2017-05-26,5006.0,technolgy,1980.0,7708.38,13756.0,United States,0.3639139284675778,0.6494230953845036
Moses Frase,Conecom,Lost,2017-03-27,2017-05-01,0.0,technolgy,2005.0,1520.66,1806.0,United States,0.0,0.0
Reed Clapper,Zotware,Lost,2017-03-27,2017-05-15,0.0,software,1979.0,4478.47,13809.0,United States,0.0,0.0
Reed Clapper,Mathtouch,Won,2017-03-27,2017-04-05,5363.0,marketing,1984.0,3027.46,9516.0,Jordan,0.5635771332492644,1.771451976244112
Versie Hillebrand,dambase,Won,2017-03-27,2017-06-28,49.0,marketing,1995.0,2173.98,2928.0,United States,0.01673497267759563,0.022539305789381688
Vicki Laflamme,Donware,Engaging,2017-03-27,,0.0,marketing,1999.0,1197.44,2570.0,United States,0.0,0.0
Zane Levy,Fasehatice,Lost,2017-03-27,2017-04-03,0.0,retail,1990.0,4968.91,7523.0,United States,0.0,0.0
Zane Levy,Doncon,Won,2017-03-27,2017-04-03,4253.0,technolgy,2010.0,587.72,1501.0,United States,2.8334443704197203,7.236439120669706
Anna Snelling,Codehow,Lost,2017-03-28,2017-04-08,0.0,software,1998.0,2714.9,2641.0,United States,0.0,0.0
Anna Snelling,Codehow,Lost,2017-03-28,2017-06-08,0.0,software,1998.0,2714.9,2641.0,United States,0.0,0.0
Cassey Cress,Plussunin,Won,2017-03-28,2017-05-30,422.0,retail,2003.0,1419.98,4018.0,United States,0.10502737680438029,0.2971872843279483
Cecily Lampkin,Hottechi,Lost,2017-03-28,2017-04-06,0.0,technolgy,1997.0,8170.38,16499.0,Korea,0.0,0.0
Cecily Lampkin,Codehow,Won,2017-03-28,2017-04-08,1056.0,software,1998.0,2714.9,2641.0,United States,0.3998485422188565,0.38896460274779915
Corliss Cosme,Bioplex,Lost,2017-03-28,2017-04-07,0.0,medical,1991.0,326.82,1016.0,United States,0.0,0.0
Corliss Cosme,Ganjaflex,Lost,2017-03-28,2017-05-28,0.0,retail,1995.0,5158.71,17479.0,Japan,0.0,0.0
Darcel Schlecht,Dontechi,Lost,2017-03-28,2017-04-06,0.0,software,1982.0,4618.0,10083.0,United States,0.0,0.0
Darcel Schlecht,Inity,Lost,2017-03-28,2017-04-03,0.0,marketing,1986.0,2403.58,8801.0,United States,0.0,0.0
Darcel Schlecht,Warephase,Won,2017-03-28,2017-04-09,3665.0,services,1997.0,2041.73,5276.0,United States,0.6946550416982562,1.7950463577456373
Donn Cantrell,Donquadtech,Won,2017-03-28,2017-06-03,4329.0,technolgy,1992.0,1712.68,3194.0,United States,1.3553537883531621,2.527617535091202
Gladys Colclough,Finhigh,Lost,2017-03-28,2017-04-03,0.0,finance,2006.0,1102.43,1759.0,United States,0.0,0.0
Hayden Neloms,Goodsilron,Won,2017-03-28,2017-04-08,58.0,marketing,2000.0,2952.73,5107.0,United States,0.011356961033875073,0.019642838999840824
James Ascencio,Y-corporation,Won,2017-03-28,2017-06-26,7356.0,employment,1983.0,2871.35,9561.0,United States,0.7693755883275808,2.561861145454229
James Ascencio,Fasehatice,Won,2017-03-28,2017-06-25,4066.0,retail,1990.0,4968.91,7523.0,United States,0.5404758739864416,0.8182881155021926
Lajuana Vencill,Condax,Won,2017-03-28,2017-06-06,55.0,medical,2017.0,4.54,9.0,United States,6.111111111111111,12.114537444933921
Markita Hansen,Zoomit,Won,2017-03-28,2017-06-27,3738.0,entertainment,1992.0,324.19,978.0,United States,3.8220858895705523,11.530275455751257
Maureen Marcano,Scottech,Engaging,2017-03-28,,0.0,marketing,2012.0,45.39,100.0,United States,0.0,0.0
Maureen Marcano,Hottechi,Lost,2017-03-28,2017-04-04,0.0,technolgy,1997.0,8170.38,16499.0,Korea,0.0,0.0
Maureen Marcano,Labdrill,Lost,2017-03-28,2017-05-26,0.0,medical,1985.0,2741.37,9226.0,United States,0.0,0.0
Maureen Marcano,Y-corporation,Won,2017-03-28,2017-05-15,888.0,employment,1983.0,2871.35,9561.0,United States,0.09287731408848447,0.3092621937416198
Moses Frase,Bioholding,Won,2017-03-28,2017-04-07,5447.0,medical,2012.0,587.34,1356.0,Philipines,4.016961651917404,9.274015050907481
Niesha Huffines,Globex Corporation,Won,2017-03-28,2017-04-05,5972.0,technolgy,2000.0,1223.72,2497.0,Norway,2.391670004004806,4.880201353250744
Rosalina Dieter,Cheers,Won,2017-03-28,2017-04-02,4855.0,entertainment,1993.0,4269.9,6472.0,United States,0.7501545117428925,1.137028970233495
Rosie Papadopoulos,Xx-zobam,Won,2017-03-28,2017-05-29,3395.0,entertainment,1989.0,3838.39,8274.0,United States,0.4103214890016921,0.8844854222734011
Violet Mclelland,Bioplex,Lost,2017-03-28,2017-04-07,0.0,medical,1991.0,326.82,1016.0,United States,0.0,0.0
Zane Levy,Goodsilron,Won,2017-03-28,2017-03-30,1084.0,marketing,2000.0,2952.73,5107.0,United States,0.21225768552966517,0.36711788751426644
Cecily Lampkin,Inity,Won,2017-03-29,2017-06-03,3670.0,marketing,1986.0,2403.58,8801.0,United States,0.41699806840131803,1.5268890571564084
Daniell Hammack,Initech,Lost,2017-03-29,2017-04-02,0.0,telecommunications,1994.0,6395.05,20275.0,United States,0.0,0.0
Daniell Hammack,Gekko & Co,Won,2017-03-29,2017-06-02,5304.0,retail,1990.0,2520.83,3502.0,United States,1.5145631067961165,2.1040688979423443
Darcel Schlecht,Treequote,Lost,2017-03-29,2017-04-06,0.0,telecommunications,1988.0,5266.09,8595.0,United States,0.0,0.0
Darcel Schlecht,Conecom,Won,2017-03-29,2017-06-16,3844.0,technolgy,2005.0,1520.66,1806.0,United States,2.1284606866002216,2.5278497494508962
Donn Cantrell,Acme Corporation,Won,2017-03-29,2017-05-11,549.0,technolgy,1996.0,1100.04,2822.0,United States,0.1945428773919206,0.49907276099050946
Gladys Colclough,Condax,Lost,2017-03-29,2017-05-20,0.0,medical,2017.0,4.54,9.0,United States,0.0,0.0
Gladys Colclough,Stanredtax,Lost,2017-03-29,2017-04-05,0.0,finance,1987.0,1698.2,3798.0,United States,0.0,0.0
Jonathan Berthelot,Hottechi,Won,2017-03-29,2017-04-05,553.0,technolgy,1997.0,8170.38,16499.0,Korea,0.03351718285956724,0.06768351043647909
Kami Bicknell,Plexzap,Lost,2017-03-29,2017-05-05,0.0,retail,2001.0,2437.85,4874.0,United States,0.0,0.0
Kami Bicknell,Faxquote,Won,2017-03-29,2017-04-07,3523.0,telecommunications,1995.0,1825.82,5595.0,United States,0.6296693476318141,1.929543985716007
